"","V1"
"1",0.5
"2",0.5
"3",0.5
"4",0.546081813701331
"5",0.5
"6",0.5
"7",0.5
"8",0.5
"9",0.5
"10",0.50378608613346
"11",0.5
"12",0.5
"13",0.5
"14",0.5
"15",0.5
"16",0.5
"17",0.5
"18",0.5
"19",0.5
"20",0.5
"21",0.5
"22",0.5
"23",0.5
"24",0.5
"25",0.5
"26",0.5
"27",0.5
"28",0.547690625854058
"29",0.5
"30",0.5
"31",0.5
"32",0.5
"33",0.5
"34",0.5
"35",0.5
"36",0.5
"37",0.500236630383341
"38",0.5
"39",0.5
"40",0.5
"41",0.5
"42",0.5
"43",0.5
"44",0.5
"45",0.5
"46",0.5
"47",0.5
"48",0.5
"49",0.5
"50",0.5
"51",0.5
"52",0.5
"53",0.539218365673682
"54",0.5
"55",0.5
"56",0.5
"57",0.5
"58",0.5
"59",0.5
"60",0.5
"61",0.508624938393297
"62",0.5
"63",0.5
"64",0.5
"65",0.5
"66",0.523656973878758
"67",0.5
"68",0.5
"69",0.5
"70",0.5
"71",0.5
"72",0.522547144028423
"73",0.5
"74",0.5
"75",0.5
"76",0.5
"77",0.5
"78",0.528559715769336
"79",0.5
"80",0.563653573118788
"81",0.5
"82",0.5
"83",0.5
"84",0.5
"85",0.5
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.50970184571699
"98",0.5
"99",0.5
"100",0.5
"101",0.5
"102",0.5
"103",0.5
"104",0.5
"105",0.5
"106",0.5
"107",0.5
"108",0.5
"109",0.5
"110",0.5
"111",0.5
"112",0.5
"113",0.5
"114",0.5
"115",0.616658778987222
"116",0.5
"117",0.5
"118",0.505442498816848
"119",0.5
"120",0.5
"121",0.5
"122",0.5
"123",0.5
"124",0.5
"125",0.5
"126",0.5
"127",0.5
"128",0.5
"129",0.5
"130",0.5
"131",0.5
"132",0.5
"133",0.5
"134",0.5
"135",0.5
"136",0.5
"137",0.5
"138",0.5
"139",0.534146341463414
"140",0.509552845528455
"141",0.5
"142",0.5
"143",0.508132084770823
"144",0.5
"145",0.503455284552846
"146",0.5
"147",0.5
"148",0.5
"149",0.5
"150",0.5
"151",0.5
"152",0.522273845312927
"153",0.5
"154",0.5
"155",0.5
"156",0.5
"157",0.5
"158",0.509857072449483
"159",0.572560808964198
"160",0.5
"161",0.5
"162",0.5
"163",0.5
"164",0.5
"165",0.509117792015771
"166",0.5
"167",0.5
"168",0.5
"169",0.5
"170",0.555938886150813
"171",0.5
"172",0.5
"173",0.5
"174",0.525082820634169
"175",0.5
"176",0.5
"177",0.5
"178",0.5
"179",0.5
"180",0.5
"181",0.5
"182",0.5
"183",0.5
"184",0.5
"185",0.5
"186",0.5
"187",0.5
"188",0.5
"189",0.624467581637482
"190",0.5
"191",0.5
"192",0.5
"193",0.5
"194",0.5
"195",0.5
"196",0.5
"197",0.557529379611916
"198",0.566493137718883
"199",0.5
"200",0.5
"201",0.5
"202",0.5
"203",0.54390243902439
"204",0.5
"205",0.5
"206",0.501656412683388
"207",0.5
"208",0.5
"209",0.5
"210",0.5
"211",0.520699852143913
"212",0.540447154471545
"213",0.5
"214",0.5
"215",0.5
"216",0.5
"217",0.5
"218",0.5
"219",0.5
"220",0.5
"221",0.585405848592512
"222",0.5
"223",0.5
"224",0.5
"225",0.5
"226",0.5
"227",0.5
"228",0.500985707244948
"229",0.5
"230",0.508755324183625
"231",0.5
"232",0.5
"233",0.5
"234",0.5
"235",0.5
"236",0.5
"237",0.5
"238",0.5
"239",0.5
"240",0.5
"241",0.5
"242",0.5
"243",0.5
"244",0.5
"245",0.5
"246",0.5
"247",0.5
"248",0.5
"249",0.502032520325203
"250",0.5
"251",0.5
"252",0.5
"253",0.5
"254",0.5
"255",0.5
"256",0.519167061050639
"257",0.5
"258",0.5
"259",0.5
"260",0.5
"261",0.5
"262",0.5
"263",0.514074883848046
"264",0.5
"265",0.5
"266",0.527739819622848
"267",0.5
"268",0.520121951219512
"269",0.5
"270",0.5
"271",0.5
"272",0.5
"273",0.5
"274",0.5
"275",0.5
"276",0.5
"277",0.542356838618078
"278",0.5
"279",0.5
"280",0.5
"281",0.5
"282",0.5
"283",0.54534253326762
"284",0.5
"285",0.714285714285714
"286",0.5
"287",0.5586225744739
"288",0.5
"289",0.5
"290",0.5
"291",0.5
"292",0.502596337797212
"293",0.5
"294",0.5
"295",0.5
"296",0.553241836251775
"297",0.642857142857143
