"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"1",2,14,18,28,34,39,48,55,61,70
"2",2,14,18,24,34,41,47,55,61,69
"3",1,14,17,23,34,40,47,54,61,67
"4",1,14,18,24,35,41,48,55,61,69
"5",1,14,20,25,35,40,47,55,61,68
"6",2,14,18,24,31,40,47,54,61,67
"7",1,14,18,27,34,41,47,54,62,69
"8",1,14,18,27,34,40,48,55,62,69
"9",1,14,18,22,34,40,47,55,62,68
"10",1,14,18,22,32,40,47,54,60,68
"11",1,14,18,24,31,39,46,54,60,67
"12",2,14,18,23,32,39,47,54,60,67
"13",1,14,18,25,34,40,48,55,62,69
"14",1,14,18,24,35,39,46,54,61,67
"15",1,14,18,25,34,41,48,55,63,69
"16",2,14,18,24,34,40,47,54,60,68
"17",1,14,18,25,34,40,47,55,61,69
"18",1,14,18,25,34,41,47,55,60,67
"19",1,14,17,25,31,40,47,54,60,68
"20",2,14,17,23,31,40,47,54,60,67
"21",1,14,18,24,35,39,47,55,61,68
"22",1,14,17,23,31,40,47,54,61,68
"23",1,14,18,23,31,39,46,53,60,66
"24",1,14,18,25,34,40,48,55,62,67
"25",2,14,18,23,34,40,48,55,60,69
"26",1,14,18,25,34,41,48,55,61,69
"27",2,14,18,27,34,41,48,55,62,70
"28",1,14,17,24,34,41,47,55,61,69
"29",2,14,18,24,31,40,48,54,62,69
"30",1,14,18,26,34,41,48,55,61,68
"31",1,14,18,23,32,40,47,55,60,68
"32",2,14,18,22,31,39,47,55,60,67
"33",1,14,18,28,34,40,48,55,62,69
"34",2,14,18,22,31,39,46,54,60,67
"35",2,14,18,25,34,41,48,55,61,69
"36",1,14,18,25,34,40,47,54,61,68
"37",2,14,18,23,34,40,47,55,60,67
"38",2,14,18,27,34,39,47,54,60,67
"39",2,14,18,24,34,40,47,55,62,69
"40",2,14,17,28,35,39,47,54,59,67
"41",2,14,18,26,34,40,48,55,61,68
"42",2,14,18,25,34,40,46,54,60,68
"43",2,14,18,25,31,40,47,55,61,67
"44",2,14,18,23,31,39,46,54,59,67
"45",1,14,18,22,31,39,46,54,60,68
"46",2,14,17,24,35,41,48,55,61,69
"47",2,14,18,24,35,40,47,54,60,66
"48",1,14,18,23,31,40,46,54,60,67
"49",2,14,18,24,31,39,47,54,60,67
"50",2,14,17,24,34,41,47,55,60,68
"51",1,14,18,24,34,39,46,54,60,68
"52",1,14,18,24,34,41,48,55,62,70
"53",1,14,18,24,35,40,48,55,60,69
"54",1,14,17,24,34,40,48,55,61,69
"55",1,14,18,27,34,40,47,54,62,68
"56",1,14,18,25,34,39,47,54,59,68
"57",2,14,17,23,31,40,47,55,60,67
"58",1,14,18,23,34,40,47,55,62,68
"59",2,14,18,23,31,41,47,55,61,67
"60",1,14,18,22,31,40,46,54,60,68
"61",1,14,18,24,31,39,47,54,61,67
"62",2,14,18,22,32,39,47,54,61,66
"63",1,14,18,28,34,41,48,55,61,69
"64",2,14,18,23,31,40,47,54,60,67
"65",1,14,17,23,34,41,47,55,62,69
"66",2,14,17,22,31,39,46,54,59,67
"67",2,14,18,24,34,41,46,54,61,68
"68",2,14,18,24,34,40,47,54,61,68
"69",1,14,18,23,35,40,47,54,60,68
"70",2,14,18,22,32,40,46,54,60,67
"71",2,14,18,22,31,40,46,54,61,67
"72",2,14,18,23,31,41,48,55,61,68
"73",2,14,18,27,34,40,47,55,61,69
"74",1,14,17,23,35,40,47,55,60,69
"75",1,14,17,25,34,40,47,55,60,68
"76",2,14,18,27,34,41,47,55,60,67
"77",2,14,18,28,34,40,47,55,61,68
"78",2,14,18,24,34,41,48,55,62,69
"79",1,14,18,23,34,40,48,55,61,68
"80",1,14,18,24,31,41,48,55,61,70
"81",1,14,18,26,31,40,47,54,60,68
"82",2,14,18,25,35,41,47,55,60,68
"83",1,14,20,27,34,41,48,54,62,70
"84",1,14,17,25,34,41,48,55,61,68
"85",2,14,17,27,34,41,48,55,62,69
"86",2,14,18,23,34,41,47,55,62,69
"87",1,14,18,23,34,39,47,54,61,68
"88",1,14,17,24,31,40,46,54,60,66
"89",1,14,18,24,34,40,47,54,61,68
"90",1,14,18,25,34,41,47,54,61,68
"91",1,14,18,25,34,41,48,55,62,69
"92",1,14,18,22,31,41,47,55,61,68
"93",2,14,18,23,32,40,48,55,61,69
"94",2,14,18,24,34,40,47,55,61,68
"95",1,14,18,23,34,41,48,55,61,69
"96",1,14,18,25,35,40,47,54,61,67
