"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
2,4,7,10,13,16,20,23,26,29,31
2,6,9,10,13,16,20,23,26,29,32
1,4,7,10,13,16,20,23,26,29,32
1,4,9,10,13,16,20,23,26,29,31
1,4,9,10,13,16,20,23,26,29,32
1,6,7,10,13,16,20,23,26,29,32
1,6,7,10,13,16,20,23,26,29,31
1,6,9,10,13,16,20,23,26,29,32
1,4,9,10,13,16,20,22,26,29,31
1,6,7,10,14,16,20,23,26,29,32
2,4,7,10,13,16,20,23,26,29,32
2,6,7,10,13,16,20,23,26,29,31
2,6,9,10,13,16,20,23,26,29,31
1,4,7,10,13,16,20,23,26,29,31
1,4,7,11,13,16,20,23,26,29,32
1,6,9,10,13,16,20,23,26,29,31
1,4,7,10,14,16,20,23,26,29,32
1,4,9,10,14,16,20,23,26,29,32
1,4,7,10,14,16,20,23,26,29,31
1,6,7,10,14,16,20,23,26,29,31
1,4,7,10,13,16,20,22,26,29,32
1,6,9,10,14,16,20,23,26,29,32
2,6,7,10,13,16,20,22,25,29,31
1,4,8,10,13,16,20,23,26,29,32
1,6,8,10,13,16,20,23,26,29,32
1,4,8,10,13,16,20,23,26,29,31
1,4,8,10,14,16,20,23,26,29,32
2,4,8,10,13,16,20,23,26,29,31
1,6,8,10,13,16,20,23,26,29,31
2,6,8,10,13,16,20,23,26,29,31
1,4,8,10,14,16,20,23,26,29,31
1,4,8,11,14,17,20,23,26,29,32
1,4,8,10,13,17,20,23,26,29,32
1,6,8,11,14,17,20,23,26,29,32
2,4,8,10,13,16,20,23,26,29,32
1,6,8,10,14,16,20,23,26,29,32
1,6,8,10,14,16,20,23,26,29,31
1,6,8,11,13,17,20,23,26,29,32
1,4,8,11,13,17,20,23,26,29,32
1,4,7,11,13,17,20,23,26,29,32
2,6,8,10,13,16,20,23,26,29,32
1,6,8,11,15,17,20,23,26,29,32
1,6,8,11,15,17,21,24,27,30,33
2,4,8,11,13,17,20,23,26,29,31
1,4,8,10,14,17,20,23,26,29,32
1,4,8,10,13,16,20,22,26,29,31
1,6,8,12,13,17,20,23,26,29,32
1,4,8,12,15,17,20,23,26,29,32
1,4,8,10,13,17,20,23,26,29,31
