"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"1",1,10,13,20,24,28,34,39,43,50
"2",1,10,12,17,24,29,34,39,44,48
"3",1,10,14,18,25,29,34,39,44,49
"4",1,10,13,17,22,29,34,39,44,48
"5",1,10,13,19,24,29,34,39,44,49
"6",1,10,13,16,24,29,34,39,44,49
"7",1,10,13,17,22,28,33,38,43,48
"8",2,10,13,17,23,28,34,39,43,48
"9",1,10,13,18,24,29,34,39,44,49
"10",1,10,13,17,25,28,33,39,44,48
"11",1,10,13,18,24,29,34,40,45,49
"12",1,10,13,17,24,28,34,39,43,49
"13",1,10,13,18,24,29,34,39,43,49
"14",1,10,13,18,24,29,34,39,43,48
"15",1,10,12,16,22,29,34,39,43,48
"16",1,10,12,17,22,29,34,39,44,49
"17",1,10,13,16,22,28,33,38,43,47
"18",1,10,13,18,24,28,34,39,44,48
"19",1,10,13,16,24,28,34,39,43,49
"20",1,10,13,19,24,29,34,39,44,50
"21",1,10,12,17,24,29,34,39,44,49
"22",1,10,13,17,22,29,34,39,44,49
"23",1,10,13,17,23,29,34,39,43,48
"24",1,10,13,16,22,28,33,39,43,48
"25",1,10,13,16,22,28,33,38,43,48
"26",1,10,13,17,24,29,34,39,43,48
"27",1,10,13,19,24,28,33,39,43,48
"28",1,10,12,20,25,28,34,39,43,48
"29",1,10,13,18,22,29,34,39,44,48
"30",1,10,12,17,25,29,34,39,44,49
"31",1,10,13,17,25,28,34,39,43,48
"32",1,10,13,16,22,29,33,39,43,48
"33",1,10,13,17,22,28,34,39,43,48
"34",1,10,12,17,24,29,34,39,43,49
"35",1,10,13,17,24,28,33,38,43,48
"36",1,10,13,17,24,29,34,40,44,50
"37",1,10,13,18,24,28,34,39,43,49
"38",1,10,13,16,24,28,34,39,44,49
"39",1,10,13,16,22,29,34,39,44,48
"40",1,10,13,16,23,28,34,39,43,48
"41",1,10,13,20,24,29,34,40,44,49
"42",1,10,13,16,22,29,34,39,43,48
"43",1,10,12,16,24,29,34,39,44,49
"44",1,10,12,16,22,28,33,39,43,48
"45",1,10,13,17,24,28,34,39,44,49
"46",1,10,13,16,25,29,34,39,43,49
"47",1,10,13,16,23,28,33,39,43,48
"48",1,10,12,16,25,29,34,39,43,49
"49",1,10,12,18,24,29,34,39,43,49
"50",1,10,13,19,24,29,34,39,43,48
"51",1,10,13,20,24,29,34,39,44,49
"52",1,10,13,17,24,29,34,39,44,49
"53",1,10,13,16,24,29,34,39,44,48
"54",1,10,13,17,22,29,34,39,44,50
"55",1,10,13,18,22,29,34,39,43,48
"56",1,10,14,19,24,30,34,39,44,50
"57",1,10,12,18,24,29,34,40,44,49
"58",1,10,12,19,24,29,34,40,44,49
"59",1,10,12,17,22,28,33,39,43,48
"60",1,10,13,17,24,29,34,39,43,49
"61",1,10,13,16,22,29,34,39,43,49
"62",1,10,13,18,25,29,34,39,44,48
"63",1,10,13,16,25,29,34,38,43,49
"64",1,10,13,17,24,28,33,39,43,48
"65",1,10,12,16,24,29,34,39,43,48
"66",1,10,13,17,25,28,33,39,43,48
"67",1,10,13,19,25,29,34,39,44,48
"68",1,10,13,18,22,29,34,39,44,49
"69",1,10,13,17,24,29,34,39,43,50
"70",1,10,12,19,24,29,34,39,44,50
"71",1,10,13,16,25,29,33,39,43,48
"72",1,10,13,17,24,28,33,39,43,49
"73",1,10,13,17,23,29,33,39,43,49
"74",1,10,13,18,25,28,33,39,42,49
"75",1,10,13,16,24,29,33,39,44,48
"76",1,10,12,17,25,29,34,39,43,49
"77",1,10,12,16,22,29,34,39,43,50
"78",1,10,13,16,24,29,34,39,43,48
"79",1,10,12,16,22,29,34,39,44,48
"80",2,10,12,16,22,28,34,39,43,48
"81",2,10,13,16,22,28,33,38,43,47
"82",1,10,13,19,24,29,34,40,44,49
"83",1,10,13,16,25,29,34,39,43,50
"84",1,10,12,16,24,29,34,39,43,49
"85",1,10,12,17,24,29,34,39,43,48
"86",1,10,13,16,25,29,34,39,44,49
"87",1,10,13,16,23,28,34,39,43,49
"88",1,10,13,18,24,28,34,39,43,48
"89",1,10,13,16,24,28,33,38,43,48
"90",1,10,12,18,22,28,34,39,44,49
"91",1,10,13,20,24,28,33,38,43,48
"92",1,10,13,19,24,29,34,39,45,50
"93",1,10,12,19,24,29,34,39,43,49
"94",1,10,13,19,24,29,34,39,43,49
"95",1,10,12,18,22,29,34,39,43,49
"96",1,10,13,17,25,29,34,39,43,48
"97",1,10,13,19,24,29,33,39,44,49
"98",1,10,13,17,25,29,34,39,43,49
"99",1,10,13,17,25,29,34,39,44,49
"100",1,10,12,16,22,28,34,39,43,48
"101",1,10,13,16,24,28,33,39,43,48
"102",1,10,12,16,25,28,33,38,43,48
"103",1,10,12,17,24,29,33,39,44,49
"104",1,10,13,17,22,29,34,39,43,48
"105",1,10,12,17,25,28,33,39,43,48
"106",1,10,12,16,23,29,33,39,43,49
"107",1,10,13,18,24,28,33,38,43,48
"108",2,10,13,16,22,29,33,39,43,48
"109",1,10,14,17,24,28,34,39,43,47
"110",1,10,12,18,24,28,33,39,43,49
"111",2,10,13,16,23,28,34,39,43,48
"112",1,10,13,17,23,29,33,38,43,49
"113",1,10,13,17,24,29,34,38,44,49
"114",1,10,13,16,24,29,33,39,44,49
"115",1,10,13,17,22,28,33,39,43,48
"116",1,10,13,17,24,29,34,39,44,48
"117",1,10,13,16,22,28,33,38,42,48
"118",1,10,13,16,24,29,34,39,43,50
"119",1,10,12,16,24,29,34,40,44,50
"120",1,10,12,17,24,29,34,39,43,50
"121",1,10,12,16,23,29,34,39,43,49
"122",1,10,13,20,24,30,34,39,44,49
"123",1,10,13,16,24,28,34,39,43,48
"124",1,10,12,18,25,29,34,39,44,49
"125",1,10,13,19,24,28,33,38,43,48
"126",1,10,13,19,24,28,34,39,43,49
